"Northern Ndebele","nde",1572800,"","Atlantic-Congo",0,"Северный ндебеле","Isindebele","北ンデベレ語","Ndebele septentrional","Sindebele","","Ndebele do norte","Ndebele del nord","Ndebele północny","Noord-ndbele","Ndebele gogleddol"
"Turkish","tur",70805930,"GreaterMesopotamia","Turkic",0,"Турецкий","Türkisch","トルコ語","Turco","Turc","土耳其语","Turco","Turco","Turecki","Turks","Tyrceg"
"Croatian","hrv",5752090,"Europe","Indo-European",0,"Хорватский","Kroatisch","クロアチア語","Croata","Croate","克罗地亚语","Croata","Croato","Chorwacki","Kroatisch","Croateg"
"Hungarian","hun",12606130,"Europe","Uralic",0,"Венгерский","Ungarisch","ハンガリー語","Húngaro","Hongrois","匈牙利语","Húngaro","Ungherese","Węgierski","Hongaars","Hwngareg"
"Bosnian","bos",2225290,"","Indo-European",0,"Боснийский","Bosnisch","ボスニア語","Bosnio","Bosnien","波斯尼亚语","Bósnio","Bosniaco","Bośniacki","Bosnisch","Bosnieg"
"Burmese","mya",32035300,"SoutheastAsia","Sino-Tibetan",0,"Бирманский","Birmanisch","ビルマ語","Birmano","Birman","缅甸语","Birmanês","Birmano","Birmański","Birmees","Byrmaneg"
"Assyrian","aii",232300,"","Afro-Asiatic",0,"","Assyrisch-neuaramäische sprache","アッシリア現代アラム語","Neoarameo asirio","","","","","Język asyryjski","",""
"Finnish","fin",5392180,"InnerAsia","Uralic",0,"Финский","Finnisch","フィンランド語","Finés","Finnois","芬兰语","Finlandês","Finlandese","Fiński","Fins","Ffineg"
"Albanian","als",5414300,"","Indo-European",0,"Тоскский диалект албанского языка","Toskisch","トスク方言","Albanés tosco","Tosque","","","Tosco","Dialekt toskijski języka albańskiego","Toskisch",""
"Armenian","hye",3140000,"","Indo-European",0,"Армянский","Armenisch","アルメニア語","Armenio","Arménien","","Arménio","Armeno","Ormiański","Armeens","Armeneg"
"Gujarati","guj",46636510,"","Indo-European",0,"Гуджарати","","グジャラート語","Idioma guyaratí","Goudjrati","古吉拉特语","Guzerate","Lingua gujarati","Gudźaracki","","Gwjarati"
"Kurdish","kmr",29960890,"","Indo-European",0,"Курманджи","Kurmandschi","","","Kurmandji","","Curmânji","","Język kurmandżi","Kirmanci",""
"Portuguese","por",203349200,"Europe","Indo-European",0,"Португальский","Portugiesisch","ポルトガル語","Portugués","Portugais","","Português","Portoghese","Portugalski","Portugees","Portiwgaleg"
"Lao","lao",3273180,"","Tai-Kadai",0,"Лаосский","Laotisch","ラオ語","Laosiano","Lao","老挝语","Laosiano","Lingua lao","Laotański","Laotiaans","Laoeg"
"Icelandic","isl",243840,"Europe","Indo-European",0,"Исландский","Isländisch","アイスランド語","Islandés","Islandais","冰岛语","Islandês","Islandese","Islandzki","Ijslands","Islandeg"
"Estonian","est",1105400,"InnerAsia","Uralic",0,"Эстонский","Estnisch","エストニア語","Estonio","Estonien","爱沙尼亚语","Estónio","Estone","Estoński","Estisch","Estoneg"
"Dutch","nld",21944690,"Europe","Indo-European",0,"Голландский","Niederländisch","オランダ語","Neerlandés","Néerlandais","荷蘭語","Holandês","Olandese","Niderlandzki","Nederlands","Iseldireg"
"Bulgarian","bul",8157770,"Europe","Indo-European",0,"Болгарский","Bulgarisch","ブルガリア語","Búlgaro","Bulgare","保加利亚语","Búlgaro","Bulgaro","Bułgarski","Bulgaars","Bwlgareg"
"Danish","dan",5522490,"Europe","Indo-European",0,"Датский","Dänisch","デンマーク語","Danés","Danois","丹麦语","Dinamarquês","Danese","Duński","Deens","Daneg"
